user_id,R,F,M,R_score,F_score,M_score,RFM_total,segment
11304,6,1,1,1,1,1,3,一般用户
11327,6,1,1,1,1,1,3,一般用户
11341,0,2,2,4,1,1,6,新用户
11344,3,2,2,3,1,1,5,新用户
11345,2,2,2,4,1,1,6,新用户
11377,2,1,1,4,1,1,6,新用户
11379,7,4,4,1,3,3,7,流失高价值用户
11393,2,4,4,4,3,3,10,高价值用户
11403,0,5,5,4,3,3,10,高价值用户
11413,5,1,1,2,1,1,4,一般用户
11417,2,4,4,4,3,3,10,高价值用户
11435,4,3,3,2,2,2,6,一般用户
11450,6,2,2,1,1,1,3,一般用户
11452,0,1,1,4,1,1,6,新用户
11465,7,1,1,1,1,1,3,一般用户
11495,0,4,4,4,3,3,10,高价值用户
11497,5,2,2,2,1,1,4,一般用户
11498,1,3,3,4,2,2,8,潜力用户
11501,4,1,1,2,1,1,4,一般用户
11503,0,2,2,4,1,1,6,新用户
11504,5,7,7,2,3,3,8,流失高价值用户
11507,1,1,1,4,1,1,6,新用户
11509,0,2,2,4,1,1,6,新用户
11517,0,1,1,4,1,1,6,新用户
11524,0,1,1,4,1,1,6,新用户
11531,2,1,1,4,1,1,6,新用户
11540,7,1,1,1,1,1,3,一般用户
11552,3,3,3,3,2,2,7,潜力用户
11588,3,2,2,3,1,1,5,新用户
11590,1,1,1,4,1,1,6,新用户
11594,2,1,1,4,1,1,6,新用户
11601,7,1,1,1,1,1,3,一般用户
11610,3,3,3,3,2,2,7,潜力用户
11611,5,1,1,2,1,1,4,一般用户
11619,2,3,3,4,2,2,8,潜力用户
11663,7,1,1,1,1,1,3,一般用户
11666,5,1,1,2,1,1,4,一般用户
11682,1,3,3,4,2,2,8,潜力用户
11708,2,3,3,4,2,2,8,潜力用户
11714,1,6,6,4,3,3,10,高价值用户
11730,8,3,3,1,2,2,5,一般用户
11740,5,1,1,2,1,1,4,一般用户
11763,0,3,3,4,2,2,8,潜力用户
11770,5,1,1,2,1,1,4,一般用户
11774,5,2,2,2,1,1,4,一般用户
11783,2,1,1,4,1,1,6,新用户
11792,0,2,2,4,1,1,6,新用户
11800,6,1,1,1,1,1,3,一般用户
11812,0,1,1,4,1,1,6,新用户
11834,1,4,4,4,3,3,10,高价值用户
11835,3,1,1,3,1,1,5,新用户
11839,7,1,1,1,1,1,3,一般用户
11855,5,3,3,2,2,2,6,一般用户
11900,7,1,1,1,1,1,3,一般用户
11912,3,1,1,3,1,1,5,新用户
11923,3,1,1,3,1,1,5,新用户
11946,0,8,8,4,3,3,10,高价值用户
11950,0,1,1,4,1,1,6,新用户
11964,6,1,1,1,1,1,3,一般用户
11975,6,1,1,1,1,1,3,一般用户
11976,0,6,6,4,3,3,10,高价值用户
11988,8,1,1,1,1,1,3,一般用户
11995,7,1,1,1,1,1,3,一般用户
11998,8,3,3,1,2,2,5,一般用户
12004,1,2,2,4,1,1,6,新用户
12026,1,2,2,4,1,1,6,新用户
12035,1,10,10,4,3,3,10,高价值用户
12037,1,1,1,4,1,1,6,新用户
12050,3,1,1,3,1,1,5,新用户
12068,0,1,1,4,1,1,6,新用户
12078,1,2,2,4,1,1,6,新用户
12082,2,1,1,4,1,1,6,新用户
12084,8,1,1,1,1,1,3,一般用户
12087,4,2,2,2,1,1,4,一般用户
12088,5,1,1,2,1,1,4,一般用户
12095,4,2,2,2,1,1,4,一般用户
12099,2,1,1,4,1,1,6,新用户
12104,1,3,3,4,2,2,8,潜力用户
12105,4,1,1,2,1,1,4,一般用户
12112,0,3,3,4,2,2,8,潜力用户
12117,0,2,2,4,1,1,6,新用户
12124,1,3,3,4,2,2,8,潜力用户
12133,0,2,2,4,1,1,6,新用户
12143,4,2,2,2,1,1,4,一般用户
12151,7,5,5,1,3,3,7,流失高价值用户
12163,1,1,1,4,1,1,6,新用户
12169,6,3,3,1,2,2,5,一般用户
12178,8,1,1,1,1,1,3,一般用户
12180,2,1,1,4,1,1,6,新用户
12186,5,1,1,2,1,1,4,一般用户
12202,0,3,3,4,2,2,8,潜力用户
12213,0,3,3,4,2,2,8,潜力用户
12261,3,6,6,3,3,3,9,高价值用户
12265,2,1,1,4,1,1,6,新用户
12274,0,3,3,4,2,2,8,潜力用户
12289,1,1,1,4,1,1,6,新用户
12295,2,2,2,4,1,1,6,新用户
12308,4,1,1,2,1,1,4,一般用户
12322,1,3,3,4,2,2,8,潜力用户
12351,1,2,2,4,1,1,6,新用户
12356,5,1,1,2,1,1,4,一般用户
12360,0,1,1,4,1,1,6,新用户
12375,8,1,1,1,1,1,3,一般用户
12387,0,1,1,4,1,1,6,新用户
12412,0,1,1,4,1,1,6,新用户
12420,7,2,2,1,1,1,3,一般用户
12432,2,2,2,4,1,1,6,新用户
12455,1,1,1,4,1,1,6,新用户
12464,5,1,1,2,1,1,4,一般用户
12465,6,3,3,1,2,2,5,一般用户
12476,1,6,6,4,3,3,10,高价值用户
12482,2,2,2,4,1,1,6,新用户
12492,1,3,3,4,2,2,8,潜力用户
12500,0,1,1,4,1,1,6,新用户
12524,0,1,1,4,1,1,6,新用户
12566,4,1,1,2,1,1,4,一般用户
12569,2,2,2,4,1,1,6,新用户
12578,3,1,1,3,1,1,5,新用户
12605,0,2,2,4,1,1,6,新用户
12615,3,3,3,3,2,2,7,潜力用户
12629,2,1,1,4,1,1,6,新用户
12630,1,3,3,4,2,2,8,潜力用户
12644,0,3,3,4,2,2,8,潜力用户
12646,0,5,5,4,3,3,10,高价值用户
12650,4,1,1,2,1,1,4,一般用户
12665,3,2,2,3,1,1,5,新用户
12674,0,1,1,4,1,1,6,新用户
12699,8,1,1,1,1,1,3,一般用户
12701,0,8,8,4,3,3,10,高价值用户
12707,2,2,2,4,1,1,6,新用户
12709,3,1,1,3,1,1,5,新用户
12722,4,2,2,2,1,1,4,一般用户
12747,1,1,1,4,1,1,6,新用户
12756,1,5,5,4,3,3,10,高价值用户
12763,0,2,2,4,1,1,6,新用户
12764,8,1,1,1,1,1,3,一般用户
12775,6,2,2,1,1,1,3,一般用户
12779,4,1,1,2,1,1,4,一般用户
12780,7,1,1,1,1,1,3,一般用户
12801,1,14,14,4,3,3,10,高价值用户
12830,8,2,2,1,1,1,3,一般用户
12851,1,2,2,4,1,1,6,新用户
12860,3,3,3,3,2,2,7,潜力用户
100002,3,1,1,3,1,1,5,新用户
100009,1,1,1,4,1,1,6,新用户
100030,8,4,4,1,3,3,7,流失高价值用户
100068,3,3,3,3,2,2,7,潜力用户
100075,3,1,1,3,1,1,5,新用户
100088,7,1,1,1,1,1,3,一般用户
100101,3,6,6,3,3,3,9,高价值用户
100107,0,2,2,4,1,1,6,新用户
100113,4,1,1,2,1,1,4,一般用户
100128,1,1,1,4,1,1,6,新用户
100134,7,1,1,1,1,1,3,一般用户
100141,1,2,2,4,1,1,6,新用户
100164,4,1,1,2,1,1,4,一般用户
100173,2,4,4,4,3,3,10,高价值用户
100177,5,3,3,2,2,2,6,一般用户
100186,1,4,4,4,3,3,10,高价值用户
100191,2,3,3,4,2,2,8,潜力用户
100197,0,1,1,4,1,1,6,新用户
100204,5,3,3,2,2,2,6,一般用户
100215,1,3,3,4,2,2,8,潜力用户
100227,0,1,1,4,1,1,6,新用户
100234,5,5,5,2,3,3,8,流失高价值用户
100242,3,3,3,3,2,2,7,潜力用户
100243,0,2,2,4,1,1,6,新用户
100249,5,1,1,2,1,1,4,一般用户
100259,4,1,1,2,1,1,4,一般用户
100261,4,1,1,2,1,1,4,一般用户
100264,1,1,1,4,1,1,6,新用户
100279,0,2,2,4,1,1,6,新用户
100284,6,1,1,1,1,1,3,一般用户
100292,6,2,2,1,1,1,3,一般用户
100294,3,2,2,3,1,1,5,新用户
100308,5,1,1,2,1,1,4,一般用户
100318,0,1,1,4,1,1,6,新用户
100324,5,1,1,2,1,1,4,一般用户
100339,7,1,1,1,1,1,3,一般用户
100340,7,1,1,1,1,1,3,一般用户
100356,0,3,3,4,2,2,8,潜力用户
100357,1,2,2,4,1,1,6,新用户
100363,6,1,1,1,1,1,3,一般用户
100370,0,2,2,4,1,1,6,新用户
100377,0,2,2,4,1,1,6,新用户
100401,7,1,1,1,1,1,3,一般用户
100428,5,1,1,2,1,1,4,一般用户
100440,0,1,1,4,1,1,6,新用户
100451,4,1,1,2,1,1,4,一般用户
100477,4,1,1,2,1,1,4,一般用户
100483,1,2,2,4,1,1,6,新用户
100493,4,2,2,2,1,1,4,一般用户
100523,5,3,3,2,2,2,6,一般用户
100528,0,5,5,4,3,3,10,高价值用户
100540,3,2,2,3,1,1,5,新用户
100561,6,1,1,1,1,1,3,一般用户
100567,3,2,2,3,1,1,5,新用户
100580,4,6,6,2,3,3,8,流失高价值用户
100595,3,1,1,3,1,1,5,新用户
100599,0,2,2,4,1,1,6,新用户
100600,1,3,3,4,2,2,8,潜力用户
100614,3,1,1,3,1,1,5,新用户
100615,7,1,1,1,1,1,3,一般用户
100663,7,2,2,1,1,1,3,一般用户
100678,2,2,2,4,1,1,6,新用户
100688,8,1,1,1,1,1,3,一般用户
100700,7,1,1,1,1,1,3,一般用户
100712,4,1,1,2,1,1,4,一般用户
100719,7,1,1,1,1,1,3,一般用户
100734,1,2,2,4,1,1,6,新用户
100757,2,1,1,4,1,1,6,新用户
100760,6,3,3,1,2,2,5,一般用户
100762,2,2,2,4,1,1,6,新用户
100794,2,1,1,4,1,1,6,新用户
100797,1,5,5,4,3,3,10,高价值用户
100803,1,4,4,4,3,3,10,高价值用户
100814,0,2,2,4,1,1,6,新用户
100815,4,1,1,2,1,1,4,一般用户
100821,0,3,3,4,2,2,8,潜力用户
100860,2,2,2,4,1,1,6,新用户
100865,3,1,1,3,1,1,5,新用户
100871,1,3,3,4,2,2,8,潜力用户
100877,7,1,1,1,1,1,3,一般用户
100891,6,2,2,1,1,1,3,一般用户
100893,3,1,1,3,1,1,5,新用户
100901,2,1,1,4,1,1,6,新用户
100925,0,3,3,4,2,2,8,潜力用户
100977,7,3,3,1,2,2,5,一般用户
100992,4,1,1,2,1,1,4,一般用户
101003,5,1,1,2,1,1,4,一般用户
101008,0,6,6,4,3,3,10,高价值用户
101021,7,1,1,1,1,1,3,一般用户
101023,2,5,5,4,3,3,10,高价值用户
101024,5,2,2,2,1,1,4,一般用户
101033,2,2,2,4,1,1,6,新用户
101047,0,2,2,4,1,1,6,新用户
101058,4,1,1,2,1,1,4,一般用户
101082,1,6,6,4,3,3,10,高价值用户
101088,1,2,2,4,1,1,6,新用户
101096,3,4,4,3,3,3,9,高价值用户
101101,3,1,1,3,1,1,5,新用户
101104,6,1,1,1,1,1,3,一般用户
101114,1,1,1,4,1,1,6,新用户
101150,1,1,1,4,1,1,6,新用户
101165,1,2,2,4,1,1,6,新用户
101182,3,1,1,3,1,1,5,新用户
101188,6,7,7,1,3,3,7,流失高价值用户
101190,1,2,2,4,1,1,6,新用户
101210,5,1,1,2,1,1,4,一般用户
101212,2,2,2,4,1,1,6,新用户
101217,1,1,1,4,1,1,6,新用户
101231,4,1,1,2,1,1,4,一般用户
101239,0,3,3,4,2,2,8,潜力用户
101249,0,8,8,4,3,3,10,高价值用户
101269,0,1,1,4,1,1,6,新用户
101303,0,3,3,4,2,2,8,潜力用户
101305,4,2,2,2,1,1,4,一般用户
101306,2,2,2,4,1,1,6,新用户
101312,0,3,3,4,2,2,8,潜力用户
101319,3,1,1,3,1,1,5,新用户
101321,1,1,1,4,1,1,6,新用户
101339,2,1,1,4,1,1,6,新用户
101340,5,1,1,2,1,1,4,一般用户
101343,8,1,1,1,1,1,3,一般用户
101345,7,1,1,1,1,1,3,一般用户
101352,7,1,1,1,1,1,3,一般用户
101381,0,11,11,4,3,3,10,高价值用户
101391,4,2,2,2,1,1,4,一般用户
101392,1,3,3,4,2,2,8,潜力用户
101394,1,3,3,4,2,2,8,潜力用户
101402,3,1,1,3,1,1,5,新用户
101417,3,1,1,3,1,1,5,新用户
101420,0,6,6,4,3,3,10,高价值用户
101422,0,1,1,4,1,1,6,新用户
101431,3,1,1,3,1,1,5,新用户
101433,3,1,1,3,1,1,5,新用户
101434,1,1,1,4,1,1,6,新用户
101457,4,1,1,2,1,1,4,一般用户
101473,1,3,3,4,2,2,8,潜力用户
101489,0,1,1,4,1,1,6,新用户
101502,6,1,1,1,1,1,3,一般用户
101515,0,3,3,4,2,2,8,潜力用户
101516,3,1,1,3,1,1,5,新用户
101526,4,7,7,2,3,3,8,流失高价值用户
101527,0,2,2,4,1,1,6,新用户
101528,3,2,2,3,1,1,5,新用户
101583,2,2,2,4,1,1,6,新用户
101589,0,1,1,4,1,1,6,新用户
101640,0,3,3,4,2,2,8,潜力用户
101660,1,2,2,4,1,1,6,新用户
101661,1,1,1,4,1,1,6,新用户
101666,2,1,1,4,1,1,6,新用户
101673,7,1,1,1,1,1,3,一般用户
101674,8,1,1,1,1,1,3,一般用户
101678,7,1,1,1,1,1,3,一般用户
101733,6,1,1,1,1,1,3,一般用户
101738,8,2,2,1,1,1,3,一般用户
101744,5,2,2,2,1,1,4,一般用户
101771,1,3,3,4,2,2,8,潜力用户
101777,2,2,2,4,1,1,6,新用户
101797,8,1,1,1,1,1,3,一般用户
101808,5,1,1,2,1,1,4,一般用户
101817,5,3,3,2,2,2,6,一般用户
101832,1,16,16,4,3,3,10,高价值用户
101838,2,3,3,4,2,2,8,潜力用户
101855,1,2,2,4,1,1,6,新用户
101904,0,2,2,4,1,1,6,新用户
101907,4,1,1,2,1,1,4,一般用户
101909,0,1,1,4,1,1,6,新用户
101929,2,2,2,4,1,1,6,新用户
101947,8,1,1,1,1,1,3,一般用户
101954,4,1,1,2,1,1,4,一般用户
101982,5,1,1,2,1,1,4,一般用户
101983,7,1,1,1,1,1,3,一般用户
102019,4,4,4,2,3,3,8,流失高价值用户
102020,1,2,2,4,1,1,6,新用户
102034,7,4,4,1,3,3,7,流失高价值用户
102050,1,5,5,4,3,3,10,高价值用户
102069,3,2,2,3,1,1,5,新用户
102083,1,1,1,4,1,1,6,新用户
102088,4,1,1,2,1,1,4,一般用户
102101,1,1,1,4,1,1,6,新用户
102103,5,1,1,2,1,1,4,一般用户
102110,5,3,3,2,2,2,6,一般用户
102111,8,1,1,1,1,1,3,一般用户
102124,3,2,2,3,1,1,5,新用户
102126,1,2,2,4,1,1,6,新用户
102138,3,1,1,3,1,1,5,新用户
102159,2,1,1,4,1,1,6,新用户
102162,5,1,1,2,1,1,4,一般用户
102163,3,1,1,3,1,1,5,新用户
102184,5,1,1,2,1,1,4,一般用户
102189,7,1,1,1,1,1,3,一般用户
102220,4,5,5,2,3,3,8,流失高价值用户
102236,4,1,1,2,1,1,4,一般用户
102246,3,1,1,3,1,1,5,新用户
102248,2,2,2,4,1,1,6,新用户
102257,0,7,7,4,3,3,10,高价值用户
102260,8,1,1,1,1,1,3,一般用户
102270,1,2,2,4,1,1,6,新用户
102286,0,1,1,4,1,1,6,新用户
102302,1,3,3,4,2,2,8,潜力用户
102304,3,4,4,3,3,3,9,高价值用户
102307,4,1,1,2,1,1,4,一般用户
102308,7,1,1,1,1,1,3,一般用户
102315,2,1,1,4,1,1,6,新用户
102318,6,1,1,1,1,1,3,一般用户
102319,6,1,1,1,1,1,3,一般用户
102359,4,1,1,2,1,1,4,一般用户
102385,3,1,1,3,1,1,5,新用户
102386,0,5,5,4,3,3,10,高价值用户
102390,0,1,1,4,1,1,6,新用户
102391,0,1,1,4,1,1,6,新用户
102397,6,2,2,1,1,1,3,一般用户
102398,4,3,3,2,2,2,6,一般用户
102403,8,2,2,1,1,1,3,一般用户
102409,2,1,1,4,1,1,6,新用户
102422,2,1,1,4,1,1,6,新用户
102424,6,1,1,1,1,1,3,一般用户
102436,2,1,1,4,1,1,6,新用户
102450,4,1,1,2,1,1,4,一般用户
102481,1,3,3,4,2,2,8,潜力用户
102495,1,3,3,4,2,2,8,潜力用户
102496,8,1,1,1,1,1,3,一般用户
102509,2,1,1,4,1,1,6,新用户
102519,8,1,1,1,1,1,3,一般用户
102523,8,2,2,1,1,1,3,一般用户
102534,6,1,1,1,1,1,3,一般用户
102546,4,2,2,2,1,1,4,一般用户
102569,1,1,1,4,1,1,6,新用户
102574,0,4,4,4,3,3,10,高价值用户
102596,0,3,3,4,2,2,8,潜力用户
102609,3,1,1,3,1,1,5,新用户
102626,8,1,1,1,1,1,3,一般用户
102632,0,5,5,4,3,3,10,高价值用户
102633,1,6,6,4,3,3,10,高价值用户
102634,1,1,1,4,1,1,6,新用户
102642,3,1,1,3,1,1,5,新用户
102662,6,1,1,1,1,1,3,一般用户
102664,0,3,3,4,2,2,8,潜力用户
102682,1,3,3,4,2,2,8,潜力用户
102686,0,1,1,4,1,1,6,新用户
102690,6,1,1,1,1,1,3,一般用户
102697,7,1,1,1,1,1,3,一般用户
102703,0,4,4,4,3,3,10,高价值用户
102715,3,1,1,3,1,1,5,新用户
102716,3,8,8,3,3,3,9,高价值用户
102719,7,2,2,1,1,1,3,一般用户
102721,1,2,2,4,1,1,6,新用户
102728,1,3,3,4,2,2,8,潜力用户
102731,1,2,2,4,1,1,6,新用户
102750,1,2,2,4,1,1,6,新用户
102762,0,6,6,4,3,3,10,高价值用户
102768,1,1,1,4,1,1,6,新用户
102773,1,2,2,4,1,1,6,新用户
102774,0,3,3,4,2,2,8,潜力用户
102783,5,1,1,2,1,1,4,一般用户
102784,4,3,3,2,2,2,6,一般用户
102788,3,6,6,3,3,3,9,高价值用户
102795,1,2,2,4,1,1,6,新用户
102802,3,3,3,3,2,2,7,潜力用户
102856,0,1,1,4,1,1,6,新用户
102876,0,3,3,4,2,2,8,潜力用户
102885,2,1,1,4,1,1,6,新用户
102897,3,1,1,3,1,1,5,新用户
102903,2,1,1,4,1,1,6,新用户
102917,4,4,4,2,3,3,8,流失高价值用户
102930,5,2,2,2,1,1,4,一般用户
102932,3,3,3,3,2,2,7,潜力用户
102933,1,4,4,4,3,3,10,高价值用户
102945,6,1,1,1,1,1,3,一般用户
102953,0,22,22,4,3,3,10,高价值用户
102960,8,1,1,1,1,1,3,一般用户
102972,1,2,2,4,1,1,6,新用户
102976,4,1,1,2,1,1,4,一般用户
103001,4,2,2,2,1,1,4,一般用户
103004,0,1,1,4,1,1,6,新用户
103023,6,1,1,1,1,1,3,一般用户
103046,0,1,1,4,1,1,6,新用户
103054,5,1,1,2,1,1,4,一般用户
103062,4,2,2,2,1,1,4,一般用户
103067,6,1,1,1,1,1,3,一般用户
103071,2,4,4,4,3,3,10,高价值用户
103079,6,1,1,1,1,1,3,一般用户
103082,3,1,1,3,1,1,5,新用户
103084,0,1,1,4,1,1,6,新用户
103096,1,5,5,4,3,3,10,高价值用户
103112,2,1,1,4,1,1,6,新用户
103121,2,2,2,4,1,1,6,新用户
103128,1,1,1,4,1,1,6,新用户
103139,7,1,1,1,1,1,3,一般用户
103141,3,18,18,3,3,3,9,高价值用户
103146,3,3,3,3,2,2,7,潜力用户
103147,0,2,2,4,1,1,6,新用户
103151,6,1,1,1,1,1,3,一般用户
103153,1,9,9,4,3,3,10,高价值用户
103156,6,2,2,1,1,1,3,一般用户
103170,1,2,2,4,1,1,6,新用户
103175,3,1,1,3,1,1,5,新用户
103177,4,3,3,2,2,2,6,一般用户
103197,2,3,3,4,2,2,8,潜力用户
103202,2,1,1,4,1,1,6,新用户
103207,8,1,1,1,1,1,3,一般用户
103229,0,2,2,4,1,1,6,新用户
103242,5,6,6,2,3,3,8,流失高价值用户
103246,0,3,3,4,2,2,8,潜力用户
103259,7,1,1,1,1,1,3,一般用户
103260,4,1,1,2,1,1,4,一般用户
103303,1,4,4,4,3,3,10,高价值用户
103308,6,5,5,1,3,3,7,流失高价值用户
103312,5,2,2,2,1,1,4,一般用户
103313,4,1,1,2,1,1,4,一般用户
103367,8,1,1,1,1,1,3,一般用户
103373,1,2,2,4,1,1,6,新用户
103379,7,2,2,1,1,1,3,一般用户
103388,1,1,1,4,1,1,6,新用户
103395,1,1,1,4,1,1,6,新用户
103416,4,1,1,2,1,1,4,一般用户
103435,6,2,2,1,1,1,3,一般用户
103439,4,3,3,2,2,2,6,一般用户
103446,1,3,3,4,2,2,8,潜力用户
103448,1,2,2,4,1,1,6,新用户
103458,1,3,3,4,2,2,8,潜力用户
103463,5,3,3,2,2,2,6,一般用户
103469,3,1,1,3,1,1,5,新用户
103492,7,1,1,1,1,1,3,一般用户
103509,6,3,3,1,2,2,5,一般用户
103511,0,2,2,4,1,1,6,新用户
103530,0,1,1,4,1,1,6,新用户
103532,0,8,8,4,3,3,10,高价值用户
103538,3,1,1,3,1,1,5,新用户
103540,0,3,3,4,2,2,8,潜力用户
103543,8,1,1,1,1,1,3,一般用户
103552,4,1,1,2,1,1,4,一般用户
103582,0,1,1,4,1,1,6,新用户
103585,0,2,2,4,1,1,6,新用户
103623,3,2,2,3,1,1,5,新用户
103627,0,5,5,4,3,3,10,高价值用户
103628,0,1,1,4,1,1,6,新用户
103630,6,1,1,1,1,1,3,一般用户
